## DEGs of mapped genes


## T0s VS T14s ##


## NS (469)
Comparison of groups:  2-1 
                    logFC    logCPM       PValue          FDR
XM_032363302.2 -0.6615015  4.210133 2.320904e-04 4.300386e-03
XR_004295937.2 -0.7082127  4.310532 2.333215e-04 4.311319e-03
XM_032381281.2 -0.7807245  4.462146 2.355221e-04 4.340059e-03
XM_048732762.1  0.7314567  4.324881 2.369587e-04 4.354601e-03
XM_048734755.1 -0.6638381  4.015675 2.392000e-04 4.383812e-03
XM_001639649.3 -0.7628233  4.572762 2.424298e-04 4.430932e-03
XM_001636428.3 -2.1663055  7.235274 2.436517e-04 4.441196e-03
XM_032370154.2 -0.7444423  4.232544 2.450414e-04 4.454456e-03
XM_048729552.1  0.7377798  5.033727 2.466126e-04 4.470933e-03
XM_032370147.2 -0.6928257  4.473112 2.476647e-04 4.471010e-03
